Date,Time,Open,High,Low,Close,Volume
2024.12.31,16:55,2612.72,2614.39,2612.72,2613.52,1136
2024.12.31,17:00,2613.53,2615.11,2612.28,2614.81,1316
2024.12.31,17:05,2614.70,2615.25,2613.50,2615.20,1289
2024.12.31,17:10,2615.23,2618.04,2615.14,2617.92,1231
2024.12.31,17:15,2617.81,2619.44,2617.73,2618.69,1305
2024.12.31,17:20,2618.68,2619.08,2617.30,2617.55,1035
2024.12.31,17:25,2617.74,2618.39,2617.04,2617.97,1221
2024.12.31,17:30,2617.99,2622.04,2617.36,2621.67,1270
2024.12.31,17:35,2621.55,2623.92,2621.55,2623.66,1379
2024.12.31,17:40,2623.72,2624.78,2623.49,2623.54,1173
2024.12.31,17:45,2623.58,2624.20,2621.73,2622.74,1186
2024.12.31,17:50,2622.73,2625.89,2621.22,2625.55,1404
2024.12.31,17:55,2625.64,2626.62,2624.76,2625.58,1325
2024.12.31,18:00,2625.54,2626.54,2623.74,2623.88,1307
2024.12.31,18:05,2623.78,2623.94,2622.52,2623.13,1133
2024.12.31,18:10,2623.12,2625.13,2622.62,2625.03,1022
2024.12.31,18:15,2625.04,2625.20,2623.15,2623.16,999
2024.12.31,18:20,2623.16,2624.20,2622.13,2623.42,1148
2024.12.31,18:25,2623.44,2623.76,2622.56,2623.61,1084
2024.12.31,18:30,2623.59,2625.89,2623.23,2625.51,862
2024.12.31,18:35,2625.53,2625.97,2624.82,2625.85,857
2024.12.31,18:40,2625.89,2626.62,2625.46,2625.95,818
2024.12.31,18:45,2625.95,2627.08,2624.67,2624.96,790
2024.12.31,18:50,2624.95,2625.88,2624.55,2625.53,804
2024.12.31,18:55,2625.54,2625.79,2624.93,2625.24,818
2024.12.31,19:00,2625.29,2625.43,2624.32,2624.62,679
2024.12.31,19:05,2624.61,2626.44,2624.61,2626.41,516
2024.12.31,19:10,2626.40,2626.95,2625.60,2626.38,513
2024.12.31,19:15,2626.39,2627.25,2625.98,2627.19,506
2024.12.31,19:20,2627.22,2627.39,2625.00,2626.09,538
2024.12.31,19:25,2626.10,2626.54,2625.18,2625.27,681
2024.12.31,19:30,2625.26,2625.27,2623.86,2623.86,605
2024.12.31,19:35,2623.86,2624.38,2623.26,2623.71,580
2024.12.31,19:40,2623.75,2624.69,2623.03,2623.16,664
2024.12.31,19:45,2623.17,2624.23,2623.14,2624.00,674
2024.12.31,19:50,2624.04,2625.01,2623.91,2624.82,766
2024.12.31,19:55,2624.85,2625.17,2623.91,2624.17,907
2024.12.31,20:00,2624.06,2624.27,2623.14,2623.23,273
2025.01.02,08:00,2633.46,2633.69,2631.74,2632.38,960
2025.01.02,08:05,2632.41,2632.72,2631.66,2632.31,828
2025.01.02,08:10,2632.36,2632.80,2631.36,2631.66,512
2025.01.02,08:15,2631.64,2632.19,2631.13,2632.07,690
2025.01.02,08:20,2632.01,2633.05,2631.93,2632.88,588
2025.01.02,08:25,2632.98,2634.34,2632.88,2634.12,584
2025.01.02,08:30,2634.15,2634.38,2633.60,2633.65,511
2025.01.02,08:35,2633.67,2633.86,2633.23,2633.80,569
2025.01.02,08:40,2633.82,2634.56,2633.68,2634.00,842
2025.01.02,08:45,2633.99,2635.29,2633.57,2633.62,733
2025.01.02,08:50,2633.60,2634.46,2633.53,2633.96,516
2025.01.02,08:55,2633.94,2634.59,2633.75,2634.04,662
2025.01.02,09:00,2634.03,2634.18,2633.44,2634.18,778
2025.01.02,09:05,2634.13,2634.94,2634.01,2634.23,702
2025.01.02,09:10,2634.21,2634.79,2634.02,2634.19,431
2025.01.02,09:15,2634.06,2634.80,2633.46,2634.71,556
2025.01.02,09:20,2634.75,2635.38,2634.25,2635.38,637
2025.01.02,09:25,2635.38,2635.81,2634.18,2634.22,676
2025.01.02,09:30,2634.26,2634.26,2632.93,2633.16,621
2025.01.02,09:35,2633.15,2634.03,2632.93,2633.44,599
